vyhlaska.iso-007-p72s5	document_01_007-sentence1
vyhlaska.iso-006-p62s10	document_01_006-sentence14
vyhlaska.iso-006-p63s1	document_01_006-sentence15
vyhlaska.iso-006-p63s2	document_01_006-sentence16
vyhlaska.iso-006-p63s3	document_01_006-sentence17
vyhlaska.iso-006-p64s1	document_01_006-sentence18
vyhlaska.iso-006-p64s2	document_01_006-sentence19
vyhlaska.iso-006-p64s3	document_01_006-sentence20
vyhlaska.iso-006-p64s4	document_01_006-sentence21
vyhlaska.iso-006-p64s5	document_01_006-sentence22
vyhlaska.iso-006-p64s6	document_01_006-sentence23
vyhlaska.iso-006-p64s7	document_01_006-sentence24
vyhlaska.iso-006-p64s8	document_01_006-sentence25
vyhlaska.iso-006-p65s1	document_01_006-sentence26
vyhlaska.iso-006-p65s2	document_01_006-sentence27
vyhlaska.iso-006-p65s3	document_01_006-sentence28
vyhlaska.iso-006-p65s4	document_01_006-sentence29
vyhlaska.iso-006-p65s5	document_01_006-sentence30
vyhlaska.iso-006-p65s6	document_01_006-sentence31
vyhlaska.iso-006-p65s7	document_01_006-sentence32
vyhlaska.iso-006-p65s9	document_01_006-sentence33
vyhlaska.iso-006-p65s10	document_01_006-sentence34
vyhlaska.iso-006-p65s11	document_01_006-sentence35
vyhlaska.iso-006-p65s12	document_01_006-sentence36
vyhlaska.iso-006-p65s13	document_01_006-sentence37
vyhlaska.iso-006-p65s14	document_01_006-sentence38
vyhlaska.iso-006-p65s15	document_01_006-sentence39
vyhlaska.iso-006-p66s1	document_01_006-sentence40
vyhlaska.iso-006-p66s2	document_01_006-sentence41
vyhlaska.iso-006-p66s3	document_01_006-sentence42
vyhlaska.iso-006-p66s4	document_01_006-sentence43
vyhlaska.iso-006-p66s5	document_01_006-sentence44
vyhlaska.iso-006-p67s1	document_01_006-sentence45
vyhlaska.iso-006-p67s2	document_01_006-sentence46
vyhlaska.iso-006-p67s3	document_01_006-sentence47
vyhlaska.iso-006-p68s1	document_01_006-sentence48
vyhlaska.iso-006-p68s2	document_01_006-sentence49
vyhlaska.iso-006-p68s3	document_01_006-sentence50
vyhlaska.iso-006-p68s4	document_01_006-sentence51
vyhlaska.iso-006-p68s5	document_01_006-sentence52
vyhlaska.iso-006-p68s6	document_01_006-sentence53
vyhlaska.iso-006-p68s8-1	document_01_006-sentence54
vyhlaska.iso-006-p68s9	document_01_006-sentence55
vyhlaska.iso-006-p68s10	document_01_006-sentence56
vyhlaska.iso-006-p68s11	document_01_006-sentence57
vyhlaska.iso-006-p69s1	document_01_006-sentence58
vyhlaska.iso-006-p69s2	document_01_006-sentence59
vyhlaska.iso-006-p69s3	document_01_006-sentence60
vyhlaska.iso-006-p69s4	document_01_006-sentence61
vyhlaska.iso-006-p69s5	document_01_006-sentence62
vyhlaska.iso-006-p69s6	document_01_006-sentence63
vyhlaska.iso-006-p69s7	document_01_006-sentence64
vyhlaska.iso-006-p69s8	document_01_006-sentence65
vyhlaska.iso-006-p69s9	document_01_006-sentence66
vyhlaska.iso-006-p69s10	document_01_006-sentence67
vyhlaska.iso-006-p70s1	document_01_006-sentence68
vyhlaska.iso-006-p70s2	document_01_006-sentence69
vyhlaska.iso-006-p70s3	document_01_006-sentence70
vyhlaska.iso-006-p70s4	document_01_006-sentence71
vyhlaska.iso-006-p70s6	document_01_006-sentence72
vyhlaska.iso-006-p70s7	document_01_006-sentence73
vyhlaska.iso-006-p70s8	document_01_006-sentence74
vyhlaska.iso-006-p70s9	document_01_006-sentence75
vyhlaska.iso-006-p71s1	document_01_006-sentence76
vyhlaska.iso-006-p71s2	document_01_006-sentence77
vyhlaska.iso-006-p71s3	document_01_006-sentence78
vyhlaska.iso-006-p71s4	document_01_006-sentence79
vyhlaska.iso-006-p71s5	document_01_006-sentence80
vyhlaska.iso-006-p71s6	document_01_006-sentence81
vyhlaska.iso-006-p71s7	document_01_006-sentence82
vyhlaska.iso-006-p71s8	document_01_006-sentence83
vyhlaska.iso-006-p72s1	document_01_006-sentence84
vyhlaska.iso-006-p72s2	document_01_006-sentence85
vyhlaska.iso-006-p72s3	document_01_006-sentence86
vyhlaska.iso-006-p72s4	document_01_006-sentence87
